breach_id,detected_at,event_id,user_id,user_role,action,resource,flags,severity,severity_level,notify_by,notify_hrs,records_at_risk,phi_elements,notify_hhs,notify_media,status,description
BRH000001,2026-06-07T16:07:33.031922,EVT00000007,USR003,DATA_ANALYST,FAILED_LOGIN,DISCHARGE_SUMMARY,['FAILED_AUTHENTICATION'],MEDIUM,2,2026-06-14T16:07:33.031922,168,27,"['Patient Name', 'Date of Birth', 'Medical Record Number', 'Diagnosis Codes (ICD-10)', 'Lab Results (LOINC)', 'Medications (RxNorm)', 'Clinical Notes']",False,False,OPEN,Notify within 7 days
BRH000002,2026-06-07T16:07:33.031922,EVT00000009,USR005,ADMIN,FAILED_LOGIN,PRESCRIPTIONS,['FAILED_AUTHENTICATION'],MEDIUM,2,2026-06-14T16:07:33.031922,168,9,"['Patient Name', 'Date of Birth', 'Medical Record Number']",False,False,OPEN,Notify within 7 days
BRH000003,2026-06-07T16:07:33.031922,EVT00000011,USR004,BILLING,DELETE,CLINICAL_NOTES,['PHI_DELETION_ATTEMPT'],HIGH,3,2026-06-10T16:07:33.031922,72,13,"['Patient Name', 'Date of Birth', 'Medical Record Number', 'Diagnosis Codes (ICD-10)', 'Lab Results (LOINC)', 'Medications (RxNorm)', 'Clinical Notes']",False,False,OPEN,Notify within 72 hours
BRH000004,2026-06-07T16:07:33.031922,EVT00000015,USR005,ADMIN,UPDATE,DISCHARGE_SUMMARY,['UNAUTHORIZED_PHI_ACCESS'],CRITICAL,4,2026-06-08T16:07:33.031922,24,1,"['Patient Name', 'Date of Birth', 'Medical Record Number', 'Diagnosis Codes (ICD-10)', 'Lab Results (LOINC)', 'Medications (RxNorm)', 'Clinical Notes']",False,False,OPEN,Immediate notification required
BRH000005,2026-06-07T16:07:33.031922,EVT00000016,USR003,DATA_ANALYST,READ,PATIENT_DEMOGRAPHICS,['CLEARANCE_EXCEEDED'],HIGH,3,2026-06-10T16:07:33.031922,72,23,"['Patient Name', 'Date of Birth', 'Medical Record Number']",False,False,OPEN,Notify within 72 hours
BRH000006,2026-06-07T16:07:33.031922,EVT00000017,USR005,ADMIN,WRITE,CLINICAL_NOTES,['UNAUTHORIZED_PHI_ACCESS'],CRITICAL,4,2026-06-08T16:07:33.031922,24,48,"['Patient Name', 'Date of Birth', 'Medical Record Number', 'Diagnosis Codes (ICD-10)', 'Lab Results (LOINC)', 'Medications (RxNorm)', 'Clinical Notes']",False,False,OPEN,Immediate notification required
BRH000007,2026-06-07T16:07:33.031922,EVT00000018,USR003,DATA_ANALYST,FAILED_LOGIN,PATIENT_DEMOGRAPHICS,"['FAILED_AUTHENTICATION', 'CLEARANCE_EXCEEDED']",HIGH,3,2026-06-10T16:07:33.031922,72,1,"['Patient Name', 'Date of Birth', 'Medical Record Number']",False,False,OPEN,Notify within 72 hours
BRH000008,2026-06-07T16:07:33.031922,EVT00000019,USR005,ADMIN,READ,INSURANCE_CLAIMS,['UNAUTHORIZED_PHI_ACCESS'],CRITICAL,4,2026-06-08T16:07:33.031922,24,19,"['Patient Name', 'Date of Birth', 'Medical Record Number']",False,False,OPEN,Immediate notification required
BRH000009,2026-06-07T16:07:33.031922,EVT00000022,USR003,DATA_ANALYST,EXPORT,PATIENT_DEMOGRAPHICS,['CLEARANCE_EXCEEDED'],HIGH,3,2026-06-10T16:07:33.031922,72,17,"['Patient Name', 'Date of Birth', 'Medical Record Number']",False,False,OPEN,Notify within 72 hours
BRH000010,2026-06-07T16:07:33.031922,EVT00000024,USR007,IT_SUPPORT,READ,EHR_FULL_RECORD,['UNAUTHORIZED_PHI_ACCESS'],CRITICAL,4,2026-06-08T16:07:33.031922,24,2,"['Patient Name', 'Date of Birth', 'Medical Record Number', 'Diagnosis Codes (ICD-10)', 'Lab Results (LOINC)', 'Medications (RxNorm)', 'Clinical Notes']",False,False,OPEN,Immediate notification required
BRH000011,2026-06-07T16:07:33.031922,EVT00000031,USR005,ADMIN,PRINT,PRESCRIPTIONS,['UNAUTHORIZED_PHI_ACCESS'],CRITICAL,4,2026-06-08T16:07:33.031922,24,17,"['Patient Name', 'Date of Birth', 'Medical Record Number']",False,False,OPEN,Immediate notification required
BRH000012,2026-06-07T16:07:33.031922,EVT00000035,USR001,PHYSICIAN,DELETE,PATIENT_DEMOGRAPHICS,['PHI_DELETION_ATTEMPT'],HIGH,3,2026-06-10T16:07:33.031922,72,1,"['Patient Name', 'Date of Birth', 'Medical Record Number']",False,False,OPEN,Notify within 72 hours
